"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
72,5,31882,3.114,6849849469,3249849469,5,-2.04253888130188,2.334817171096802,0.2714029848575592
3,6,31883,1.364,6849849471,3249849471,-9,-0.8868601322174072,1.01412308216095,-0.2133766114711761
73,7,31884,3.116,6849849473,3249849473,7,-2.035552501678467,2.328470706939697,0.3797448873519897
11,8,31885,1.426,6849849475,3249849475,-7,-0.931360125541687,1.065759301185608,-0.1737856864929199
67,9,31885,3.168,6849849478,3249849478,9,-2.058981895446777,2.356101512908936,0.4955843985080719
15,10,31886,1.988,6849849480,3249849480,-5,-1.302930593490601,1.491474151611328,-0.1732656210660934
49,11,31887,3.276,6849849482,3249849482,11,-2.115262985229492,2.422209978103638,0.6250902414321899
78,12,31888,3.082,6849849485,3249849485,-3,-2.024063348770142,2.31859302520752,-0.1612994223833084
51,13,31889,3.596,6849849487,3249849487,13,-2.303795099258423,2.639959573745728,0.8089240193367004
54,14,31890,2.704,6849849489,3249849489,-1,-1.77727198600769,2.037325143814087,-0.0471913069486618
46,15,31890,3.632,6849849492,3249849492,15,-2.306231737136841,2.643683195114136,0.9400307536125183
14,1,31899,2.282,6849849515,3249849515,1,-1.497199177742004,1.721723675727844,0.03982639312744141
20,3,31901,1.342,6849849519,3249849519,3,-0.8790480494499207,1.011585712432861,0.07023485004901886
68,5,31902,3.114,6849849524,3249849524,5,-2.034376382827759,2.341932773590088,0.2714029848575592
2,6,31903,1.384,6849849526,3249849526,-9,-0.8962665796279907,1.032127737998962,-0.21650530397892
68,7,31904,3.116,6849849528,3249849528,7,-2.027412176132202,2.335561990737915,0.3797448873519897
12,8,31905,1.424,6849849531,3249849531,-7,-0.9263332486152649,1.067504525184631,-0.1735419481992722
68,9,31906,3.168,6849849533,3249849533,9,-2.050332546234131,2.363632202148438,0.4955843985080719
20,10,31906,2,6849849535,3249849535,-5,-1.305549740791321,1.505043387413025,-0.174311488866806
51,11,31907,3.264,6849849538,3249849538,11,-2.099077701568604,2.420679330825806,0.6228005886077881
73,12,31908,3.076,6849849540,3249849540,-3,-2.012032985687256,2.32111668586731,-0.1609853953123093
36,13,31909,3.58,6849849542,3249849542,13,-2.284356355667114,2.636203289031982,0.8053247928619385
54,14,31910,2.716,6849849545,3249849545,-1,-1.778005242347717,2.052585363388062,-0.04740073531866074
